VIN,Territory,Class,Loss1,Loss2
1B3EJ46C2YN220185,5,A,0,0
1B3EJ46C3YN264695,6,I,0,0
1B3EJ46C7YN220215,1,A,0,0
1B3EJ46C8YN210731,6,A,0,0
1B3EJ46U21N686679,1,A,0,0
1B3EJ46U31N689008,6,A,0,0
1B3EJ46X01N589975,1,S,0,0
1B3EJ46X01N597591,4,S,0,0
1B3EJ46X0TN113020,3,A,0,0
1B3EJ46X0VN716522,6,A,0,0
1B3EJ46X1WN108140,4,S,0,0
1B3EJ46X1WN135337,4,S,0,0
1B3EJ46X1WN136522,6,A,0,0
1B3EJ46X1XN542351,2,A,1100,0
1B3EJ46X21N682822,6,A,0,0
1B3EJ46X2VN728090,6,A,0,0
1B3EJ46X2WN273775,2,S,0,0
1B3EJ46X2WN274232,3,S,533,0
1B3EJ46X2YN144745,2,A,0,0
1B3EJ46X2YN294354,1,A,0,0
1B3EJ46X31N559806,3,M,0,0
1B3EJ46X3TN300803,6,A,0,0
1B3EJ46X3WN210541,5,A,0,0
1B3EJ46X3WN316195,2,A,0,0
1B3EJ46X3YN245924,5,A,0,0
1B3EJ46X4VN598717,3,S,0,0
1B3EJ46X4WN149636,3,A,659,0
1B3EJ46X4WN221385,6,A,0,0
1B3EJ46X5SN587253,2,A,0,0
1B3EJ46X5VN563183,6,S,0,0
1B3EJ46X5VN642871,1,S,0,0
1B3EJ46X5VN685056,5,A,0,0
1B3EJ46X5VN721604,5,A,0,0
1B3EJ46X5WN309538,1,A,0,0
1B3EJ46X5WN323021,3,I,0,0
1B3EJ46X5YN160583,4,A,0,0
1B3EJ46X5YN193163,1,A,0,0
1B3EJ46X5YN266631,2,A,0,0
1B3EJ46X6WN109221,4,I,0,0
1B3EJ46X6WN150903,2,A,0,0
1B3EJ46X6WN269390,4,A,0,0
1B3EJ46X6XN575782,3,S,0,0
1B3EJ46X71N518370,4,A,0,0
1B3EJ46X71N620610,2,S,0,0
1B3EJ46X7VN690775,6,S,0,0
1B3EJ46X7WN112659,5,A,0,0
1B3EJ46X7WN205651,2,S,0,0
1B3EJ46X7XN669878,2,I,0,0
1B3EJ46X81N564371,1,A,0,0
1B3EJ46X8SN580748,6,A,0,0
1B3EJ46X8SN611853,3,M,0,0
1B3EJ46X8VN574016,4,A,0,0
1B3EJ46X8WN292721,1,S,0,0
1B3EJ46X8XN559132,4,A,0,0
1B3EJ46X8XN584483,5,A,0,0
1B3EJ46X8YN122121,4,S,0,0
1B3EJ46X8YN164143,5,A,0,0
1B3EJ46X91N620592,1,I,0,0
1B3EJ46X9WN325774,2,S,0,0
1B3EJ46X9XN553646,3,A,0,0
1B3EJ46X9XN641600,1,S,0,0
1B3EJ46X9YN144905,5,A,0,0
1B3EJ46X9YN262842,5,A,0,0
1B3EJ46XX1N572505,6,A,0,8187
1B3EJ46XXSN632834,5,A,0,0
1B3EJ46XXTN194849,3,A,0,0
1B3EJ46XXTN271610,5,M,0,0
1B3EJ46XXVN549764,2,A,0,0
1B3EJ46XXWN108153,6,A,0,0
1B3EJ46XXWN184391,3,A,0,0
1B3EJ46XXWN184455,5,I,0,0
1B3EJ46XXWN340400,6,A,0,0
1B3EJ46XXYN113825,6,A,0,0
1B3EJ46XXYN193482,4,S,0,0
1B3EJ46XXYN300921,6,I,0,0
1B3EJ46XXYN310865,4,M,0,0
1B3EJ56H0WN282540,5,M,0,0
1B3EJ56H2SN530023,4,I,0,0
1B3EJ56H2WN205877,4,A,0,0
1B3EJ56H2YN216624,5,A,0,0
1B3EJ56H2YN250188,1,A,0,0
1B3EJ56H3VN703990,5,A,2702,0
1B3EJ56H3XN689396,5,A,0,0
1B3EJ56H5TN269665,1,A,0,0
1B3EJ56H6YN179433,4,M,0,0
1B3EJ56H7VN722493,2,A,0,0
1B3EJ56H7YN258285,5,A,0,0
1B3EJ56H8SN625217,4,A,0,0
1B3EJ56H8YN254214,2,I,0,0
1B3EJ56H9SN501425,5,S,0,0
1B3EJ56HXYN200543,3,A,0,0
1B3EJ56U51N733564,1,A,0,0
1B3EJ56U81N502271,5,I,0,0
1B3EL36J14N363528,4,A,0,0
1B3EL36J64N331156,4,M,0,0
1B3EL36RX4N280265,5,A,0,0
1B3EL36T74N170155,2,S,0,0
1B3EL36X04N417440,3,A,0,0
1B3EL36X12N115202,5,A,0,0
1B3EL36X22N137743,2,I,0,0
1B3EL36X42N117932,5,S,534,0
1B3EL36X43N587458,4,A,0,0
1B3EL36X44N193122,5,I,0,0
1B3EL36X52N259836,2,A,0,0
1B3EL36X64N250713,2,A,0,0
1B3EL36X72N138726,1,A,0,0
1B3EL36X74N185192,2,A,0,0
1B3EL36X83N586443,1,B,0,0
1B3EL46J25N689670,5,A,0,0
1B3EL46J94N407779,2,A,0,0
1B3EL46J94N407801,4,A,0,0
1B3EL46J95N686734,4,A,0,0
1B3EL46JX5N570460,6,M,0,0
1B3EL46JX5N578008,2,I,0,0
1B3EL46JX5N700494,6,A,0,0
1B3EL46R35N668557,5,A,0,0
1B3EL46R62N340139,1,I,0,0
1B3EL46R82N333872,6,A,0,0
1B3EL46R95N707202,5,A,0,0
1B3EL46X06N201175,1,A,0,0
1B3EL46X12N178757,2,A,0,0
1B3EL46X12N180315,1,B,7129,0
1B3EL46X14N171651,5,A,1740,0
1B3EL46X14N228429,5,M,0,0
1B3EL46X22N190013,4,A,0,0
1B3EL46X26N153436,4,A,1484,0
1B3EL46X34N233647,2,A,0,0
1B3EL46X42N353647,4,A,0,0
1B3EL46X44N177119,5,A,0,0
